Localshopping platform name,URL,Aktiv,Location,"Fulfils
Definition ",Typ,Stadtplattform  ,Zielländer,Alter Plattform,number of retailers,Typology,Lat,Lng
Einkaufen in Hilden,https://einkaufen-in-hilden.de/,Ja,Hilden,Ja,Generalist,Nein,Deutschland,3,196,1,51.1674417,6.9307271
Einkaufen in Weinheim,https://einkaufen-in-weinheim.de/,Ja,Weinheim,Ja,Generalist,Nein,Deutschland,4,45,1,49.5462349,8.6717458
Ich kauf' in Burgdorf,https://ich-kauf-in-burgdorf.de/,Ja,Burgdorf,Ja,Generalist,Nein,Deutschland,4,175,1,47.0571316,7.6237466
Illingen hat's,https://www.illingen-hats.de/,Ja,Illingen,Ja,Generalist,Ja,Deutschland,5,60,1,49.3292,6.18045
Im Artland,https://im-artland.de/,Ja,Badbergen,Ja,Generalist,Ja,Deutschland,4,15,1,52.6348293,7.9810703
inOsna - Osnabrück online,https://inosna.de/de/,Ja,Osnabrück,Ja,Generalist,Nein,Deutschland,3,589,1,#N/A,#N/A
Treffpunkt Konstanz,https://www.treffpunkt-konstanz.de/,Ja,Konstanz,Ja,Generalist,Nein,Deutschland,,71,1,47.659216,9.1750718
Lokal Radar,https://www.lokal-radar.de/,Ja,Osnabrück,Ja,Generalist,Nein,Deutschland,5,1565,1,#N/A,#N/A
Aar Einrich,https://www.aar-einrich.de/,Ja,Bad Ems,Nein,Generalist,Ja,Deutschland,4,60,5,50.3352062,7.7128538
Marktplatz Bruchköbel,https://marktplatz.bruchkoebel.de/index.htm,Ja,Bruchköbel,Ja,Generalist,Ja,Deutschland,5,37,3,#N/A,#N/A
Marktplatz Donau,https://shop.marktplatz-donau.de/,Ja,Donau,Nein,Generalist,Nein,Deutschland,4,12,5,47.5329477,19.0470053
Marktplatz Osnabrück,https://www.marktplatz-osnabrueck.de/,Ja,Osnabrück,Ja,Generalist,Ja,Deutschland,8,55,1,#N/A,#N/A
Mein Ludwigsburg,https://mein-l.de/,Ja,Ludwigsburg,Ja,Generalist,Nein,Deutschland,,keine Angabe,1,48.8953937,9.1895147
MyLe - Online Marktplatz Leienfelden,https://myle.de/,Ja,Leienfelden,Ja,Generalist,Ja,Deutschland,3,25,5,48.6965194,9.1414617
ProFiMe,https://www.profime.de/,Ja,Mettmann,Ja,Generalist,Ja,Deutschland,3,59,1,51.2527778,6.9777778
Quakenbrück 24,https://www.quakenbrueck24.de/,Ja,Quakenbrück,Ja,Generalist,Ja,Deutschland,3,48,3,#N/A,#N/A
regiona,https://regiona.shop/,Ja,Chiemgau,Nein,Generalist,Nein,Deutschland,2,30-90,5,47.7267064,12.5045091
Schaufenster,http://schaufenster-oberhausen.city/,Ja,Oberhausen,Ja,Generalist,Nein,Deutschland,5,20,1,51.4696137,6.8514435
Schenk Lokal,https://www.schenk-lokal.de/,Ja,Köln,Ja,Generalist,Nein,Deutschland,2,215,1,#N/A,#N/A
Stadtgutschein Neuss,https://www.stadtgutschein-neuss.de/,Ja,Neuss,Ja,Generalist,Nein,Deutschland,,49,1,51.1981778,6.6916476
Stuttgarter Traditionsgeschäfte,https://www.stg-stuttgart.de/,Ja,Stuttgart,Ja,Generalist,Nein,Deutschland,6,10,1,48.7784485,9.1800132
Pfälzer Landmark,https://www.pfaelzer-landmarkt.de/,Ja,Klingenmünster,Ja,Specialist,Nein,Deutschland,1,23,3,#N/A,#N/A
Moers Stadtportal,https://www.moers-stadtportal.de/,Ja,Moers,Nein,Generalist,Ja,Europa,3?,32,5,51.451283,6.62843
Hofladen Sauerland,https://www.hofladen-sauerland.de/,Ja,Meschede,Nein,Specialist,Nein,Deutschland,5,50,5,51.3436532,8.2859257
Atalanda,https://atalanda.com/pfaffenhofen,Ja,Wuppertal,Nein,Generalist,Nein,Europa,7,998,5,51.264018,7.1780374
Gewerbeverein Nagold,https://gewerbeverein-nagold.de/,Ja,Nagold,Ja,Generalist,Nein,Deutschland,,98,1,48.5512399,8.7234942
Marktschwärmer,https://marktschwaermer.de/de,Ja,Berlin,Ja,Specialist,Nein,Europa,8,1366,5,52.5170365,13.3888599
Einkaufen in Leipzig,https://leipzig-einkaufen.de/,Ja,Leipzig,Ja,Specialist,Nein,Deutschland,1,13,1,51.3406321,12.3747329
DLG Punkte,https://www.dlg-punkte.de/,Ja,Dillingen,Ja,Generalist,Nein,Deutschland,,25,1,48.5812458,10.4952243
City Points,https://www.city-points.de/webapp/,Ja,Pfaffenhofen an der Ilm,Ja,Generalist,Nein,Deutschland,,248,1,48.5296743,11.5084954
Münchens erste Häuser,https://www.erste-haeuser.de/,Ja,München,Ja,Generalist,Nein,Deutschland,5,5,1,#N/A,#N/A
KiezKaufhaus,https://www.kiezkaufhaus.de/,Ja,Bad Honnef,Ja,Generalist,Nein,Deutschland,5,30,5,50.6448582,7.2272534
Findeling,https://www.findeling.de/#!/,Ja,Berlin,Ja,Generalist,Nein,Europa,4,keine Angabe,1,52.5170365,13.3888599
Koomio ,https://koomio.com/ ,Ja,Essen,Ja,Generalist,Nein,Deutschland,,3000,4,51.4582235,7.0158171
Südkurier,https://shop.suedkurier.de/Haeufige-Fragen-oxid/,Ja,Schwarzwald,Nein,Generalist,Nein,Deutschland,,26,5,48.2634439,8.1647488
yatego local,www.yategolocal.de,Ja,Regensburg,Ja,Generalist,Nein,Deutschland,5,4045,1,49.0195333,12.0974869
Welfenmarkt,https://www.weingarten-online.de/welfenmarkt/?r=10000,Ja,Weingarten,Nein,Generalist,Ja,Deutschland,1,287,4,47.8075299,9.6431145
Smartplatz,App,Ja,Berlin,Ja,Generalist,Nein,Deutschland,2,17,2,52.5170365,13.3888599
Bamberg Rakuten,https://www.rakuten.de/events/bamberg,Ja,Bamberg,Nein,Generalist,Nein,Europa,5,10,5,49.8916044,10.8868478
Wacht My City,https://watch-my-city.de/aschaffenburg/,Ja,Aschaffenburg,Ja,Generalist,Nein,Europa,,1701,1,49.9740542,9.1493636
Flensburg,https://www.flensburg-shopping.de/,Ja,Flensburg,Ja,Generalist,Nein,Deutschland,5,95,1,54.7833021,9.4333264
Locamo,https://www.locamo.de/,Ja,Weingarten,Ja,Generalist,Ja,Deutschland,?,180,1,47.8075299,9.6431145
Flobee,https://flobee.de/,Ja,Balve,Ja,Generalist,Nein,Deutschland,?,26,5,51.3333,7.86667
Lieferladen.de Stuttgart,https://stuttgart.lieferladen.de/home,Ja,Stuttgart,Ja,Spezialist,Nein,Deutschland,10,11,5,48.7784485,9.1800132
EMSIG,https://www.emsdetten.com/kategorie-einkaufen-in-emsdetten.html,Ja,Emsdetten,Ja,Generalist,Nein,DE,,156,1,52.174687,7.5301756
Ahlen begeistert,https://www.ahlen-begeistert.de/haendlerliste.html?id=3,Ja,Ahlen,Ja,Generalist,City,Deutschland,,144,1,51.7627633,7.8909086
Herten erleben,https://www.herten-erleben.de/entdecken/einkaufen/branchenbuch/einzelhandel.html,Ja,erleben,Ja,Generalist,City,DE,,120,1,50.5926665,8.6895498
Gelsenkirchen City,https://gelsenkirchen-city.de/orte/shopping?page=10,Ja,Gelsenkirchen,Ja,Generalist,City,DE,,200,1,51.5110321,7.0960124
Einkaufen in Schwerte,http://einkaufeninschwerte.de/,Ja,Schwerte,Ja,Generalist,Nein,DE,,101,1,51.445525,7.5674652
Meschede Aktiv,https://www.meschede-aktiv.de/aktiv/,Ja,Meschede,Ja,Generalist,Nein,DE,,70,1,51.3436532,8.2859257
Dein HSK,https://www.dein-hsk.de/produkte,Ja,Meschede,Ja,Generalist,City,DE,,44,3,51.3436532,8.2859257
Einkaufen in Attendorn,https://www.einkaufen-in-attendorn.de/kontakt/,Ja,Attendorn,Ja,Generalist,Nein,DE,,94,1,51.1250541,7.9010992
City Guide,https://cityguide.tv/eintrag/einkaufen-shoppen,Ja,Muhlheim,Ja,Generalist,Ja,DE,,55,1,48.0274923,8.889373
Einkaufen in Solingen,https://einkaufen-in-solingen.de/,Ja,Solingen,Ja,Generalist,Ja,DE,,47,1,51.1712468,7.0838996
AGK Kerpen,http://www.agk-kerpen.de/einkaufsfuehrer/category/elektrofachhaendler.html,Ja,Kerpen,Ja,Generalist,Nein,DE,,26,1,50.3097609,6.7293316
Aachen Shopping,https://aachen-shopping.de/category/shopping-news-de/,Ja,Aachen,Ja,Generalist,Ja,DE,,97,1,50.776351,6.083862
Einkaufen in Hangelar,http://einkaufen-in-hangelar.de/,Ja,Sankt Augustin,Ja,Generalist,Nein,DE,4,40,1,50.7752776,7.1895507
Friedrichstrasse Bonn,https://friedrichstrasse-bonn.de/einkaufen.cfm,Ja,Bonn,Ja,Generalist,Nein,DE,,16,1,50.735851,7.10066
Königswinter,http://koenigswinter.net/shopping.htm,Ja,Königswinter,Ja,Generalist,Nein,DE,,35,1,#N/A,#N/A
Einkaufen in Gunzenhausen,https://ingunzenhausen.de/home.html,Ja,Gunzenhausen,Ja,Generalist,Nein,DE,,162,1,49.1147095,10.7545933
Neuburg,https://neuburg.com/einkaufen,Ja,Neuburg,Ja,Generalist,Nein,DE,,35,1,53.9449473,11.5903337
Muenchen,https://www.muenchen.de/branchenbuch,Ja,München,Ja,Generalist,Nein,DE,,35,1,#N/A,#N/A
